ticker,portfolio,fill_date,shares,entry_price,sector,xgb_score,xgb_rank,ge_score,ge_rank,cb_score,cb_rank,lgb_score,lgb_rank,ensemble_score,ensemble_rank,ensemble_cb_score,ensemble_cb_rank
GEV,ensemble,2026-04-30,70.622727,1091.79,Unknown,99.601593625498,3,88.64541832669323,58,81.87250996015936,92,79.4820717131474,104,97.41035856573708,11,93.86454183266932,19
FTNT,ensemble,2026-04-30,907.119852,85.0,Unknown,99.00398406374502,6,91.03585657370516,46,96.01593625498008,21,66.73306772908366,168,97.41035856573706,12,96.81274900398408,7
APP,ensemble,2026-04-30,173.270084,445.0,Unknown,96.61354581673308,18,98.00796812749005,11,95.2191235059761,25,91.83266932270917,42,96.89243027888448,13,96.61354581673308,9
CVNA,ensemble,2026-04-30,191.947193,401.7,Unknown,96.81274900398408,17,96.81274900398408,17,82.07171314741036,91,95.81673306772907,22,96.81274900398408,14,93.86454183266932,18
STX,ensemble,2026-04-30,117.787077,654.615,Unknown,98.40637450199203,9,89.8406374501992,52,95.61752988047807,23,98.80478087649402,7,96.69322709163347,15,96.13545816733068,11
PLTR,ensemble-cb,2026-04-30,570.581467,138.475,Unknown,99.20318725099602,5,99.20318725099602,5,99.800796812749,2,92.03187250996017,41,99.20318725099604,4,99.32270916334662,1
TER,ensemble-cb,2026-04-30,241.624675,327.0,Unknown,99.800796812749,2,98.80478087649402,7,95.81673306772907,22,100.0,1,99.601593625498,2,98.80478087649402,2
SNDK,ensemble-cb,2026-04-30,71.108293,1111.14,Unknown,100.0,1,99.601593625498,3,93.22709163346612,35,99.800796812749,2,99.9203187250996,1,98.56573705179284,3
ANET,ensemble-cb,2026-04-30,475.684941,166.1,Unknown,98.80478087649402,7,96.41434262948208,19,97.41035856573706,14,86.05577689243027,71,98.32669322709164,6,98.04780876494024,4
FIX,ensemble-cb,2026-04-30,45.931443,1720.2,Unknown,99.402390438247,4,99.00398406374502,6,89.44223107569721,54,99.402390438247,4,99.32270916334662,3,97.33067729083665,5
LRCX,ensemble-cb,2026-04-30,313.163966,252.3,Unknown,98.00796812749005,11,98.60557768924303,8,92.82868525896414,37,91.63346613545816,43,98.12749003984064,8,97.09163346613543,6
FTNT,ensemble-cb,2026-04-30,929.544337,85.0,Unknown,99.00398406374502,6,91.03585657370516,46,96.01593625498008,21,66.73306772908366,168,97.41035856573706,12,96.81274900398408,7
APH,ensemble-cb,2026-04-30,513.060186,154.0,Unknown,97.21115537848604,15,93.22709163346612,35,99.20318725099602,5,79.08366533864542,106,96.41434262948208,17,96.81274900398408,8
APP,ensemble-cb,2026-04-30,177.553413,445.0,Unknown,96.61354581673308,18,98.00796812749005,11,95.2191235059761,25,91.83266932270917,42,96.89243027888448,13,96.61354581673308,9
WDC,ensemble-cb,2026-04-30,184.981782,427.13,Unknown,98.60557768924303,8,98.20717131474105,10,88.24701195219123,60,98.60557768924303,8,98.52589641434264,5,96.45418326693226,10
STX,ensemble-cb,2026-04-30,120.698836,654.615,Unknown,98.40637450199203,9,89.8406374501992,52,95.61752988047807,23,98.80478087649402,7,96.69322709163347,15,96.13545816733068,11
MU,ensemble-cb,2026-04-30,149.151034,529.74,Unknown,97.41035856573706,14,100.0,1,88.04780876494024,61,97.60956175298804,13,97.92828685258964,9,96.05577689243027,12
HAS,ensemble-cb,2026-04-30,841.082272,93.94,Unknown,98.20717131474105,10,95.2191235059761,25,89.2430278884462,55,73.10756972111554,136,97.60956175298806,10,95.81673306772907,13
NVDA,ensemble-cb,2026-04-30,376.353458,209.939,Unknown,97.80876494023904,12,99.800796812749,2,84.4621513944223,79,55.87649402390438,224,98.20717131474105,7,95.5378486055777,14
AMAT,ensemble-cb,2026-04-30,204.939289,385.535,Unknown,96.41434262948208,19,96.21513944223108,20,90.2390438247012,50,98.40637450199203,9,96.3745019920319,18,95.1394422310757,15
MU,growth-evaluator,2026-04-30,148.289475,529.74,Unknown,97.41035856573706,14,100.0,1,88.04780876494024,61,97.60956175298804,13,97.92828685258964,9,96.05577689243027,12
NVDA,growth-evaluator,2026-04-30,374.179484,209.939,Unknown,97.80876494023904,12,99.800796812749,2,84.4621513944223,79,55.87649402390438,224,98.20717131474105,7,95.5378486055777,14
SNDK,growth-evaluator,2026-04-30,70.697542,1111.14,Unknown,100.0,1,99.601593625498,3,93.22709163346612,35,99.800796812749,2,99.9203187250996,1,98.56573705179284,3
CIEN,growth-evaluator,2026-04-30,163.608253,480.14,Unknown,83.46613545816733,84,99.402390438247,4,89.64143426294821,53,99.601593625498,3,86.65338645418328,62,87.88844621513945,40
PLTR,growth-evaluator,2026-04-30,567.285551,138.475,Unknown,99.20318725099602,5,99.20318725099602,5,99.800796812749,2,92.03187250996017,41,99.20318725099604,4,99.32270916334662,1
FIX,growth-evaluator,2026-04-30,45.666124,1720.2,Unknown,99.402390438247,4,99.00398406374502,6,89.44223107569721,54,99.402390438247,4,99.32270916334662,3,97.33067729083665,5
TER,growth-evaluator,2026-04-30,240.22895,327.0,Unknown,99.800796812749,2,98.80478087649402,7,95.81673306772907,22,100.0,1,99.601593625498,2,98.80478087649402,2
LRCX,growth-evaluator,2026-04-30,311.355001,252.3,Unknown,98.00796812749005,11,98.60557768924303,8,92.82868525896414,37,91.63346613545816,43,98.12749003984064,8,97.09163346613543,6
KEYS,growth-evaluator,2026-04-30,235.208296,333.98,Unknown,77.88844621513944,112,98.40637450199203,9,85.85657370517929,72,99.20318725099602,5,81.99203187250995,79,83.58565737051792,56
WDC,growth-evaluator,2026-04-30,183.913251,427.13,Unknown,98.60557768924303,8,98.20717131474105,10,88.24701195219123,60,98.60557768924303,8,98.52589641434264,5,96.45418326693226,10
APP,growth-evaluator,2026-04-30,176.52779,445.0,Unknown,96.61354581673308,18,98.00796812749005,11,95.2191235059761,25,91.83266932270917,42,96.89243027888448,13,96.61354581673308,9
INTU,growth-evaluator,2026-04-30,205.641012,382.0,Unknown,65.73705179282868,173,97.80876494023904,12,68.72509960159363,158,84.06374501992032,81,72.15139442231076,128,72.74900398406375,118
MSFT,growth-evaluator,2026-04-30,191.229934,410.7875,Unknown,84.86055776892431,77,97.60956175298804,13,62.74900398406375,188,55.37848605577689,225,87.41035856573706,53,82.98804780876495,60
GOOGL,growth-evaluator,2026-04-30,209.949932,374.16,Unknown,89.2430278884462,55,97.41035856573706,14,33.96414342629482,333,22.31075697211155,385,90.87649402390436,39,79.82071713147411,78
GOOG,growth-evaluator,2026-04-30,211.592751,371.255,Unknown,85.65737051792829,73,97.21115537848604,15,33.96414342629482,332,22.31075697211155,384,87.96812749003983,51,77.62948207171316,95
TER,ml-model-2,2026-04-30,250.096517,327.0,Unknown,99.800796812749,2,98.80478087649402,7,95.81673306772907,22,100.0,1,99.601593625498,2,98.80478087649402,2
SNDK,ml-model-2,2026-04-30,73.601491,1111.14,Unknown,100.0,1,99.601593625498,3,93.22709163346612,35,99.800796812749,2,99.9203187250996,1,98.56573705179284,3
CIEN,ml-model-2,2026-04-30,170.328573,480.14,Unknown,83.46613545816733,84,99.402390438247,4,89.64143426294821,53,99.601593625498,3,86.65338645418328,62,87.88844621513945,40
FIX,ml-model-2,2026-04-30,47.541891,1720.2,Unknown,99.402390438247,4,99.00398406374502,6,89.44223107569721,54,99.402390438247,4,99.32270916334662,3,97.33067729083665,5
KEYS,ml-model-2,2026-04-30,244.869636,333.98,Unknown,77.88844621513944,112,98.40637450199203,9,85.85657370517929,72,99.20318725099602,5,81.99203187250995,79,83.58565737051792,56
MPC,ml-model-2,2026-04-30,346.634853,235.93,Unknown,72.50996015936255,139,60.95617529880478,197,10.159362549800797,452,99.00398406374502,6,70.199203187251,138,57.72908366533864,190
STX,ml-model-2,2026-04-30,124.930778,654.615,Unknown,98.40637450199203,9,89.8406374501992,52,95.61752988047807,23,98.80478087649402,7,96.69322709163347,15,96.13545816733068,11
WDC,ml-model-2,2026-04-30,191.467612,427.13,Unknown,98.60557768924303,8,98.20717131474105,10,88.24701195219123,60,98.60557768924303,8,98.52589641434264,5,96.45418326693226,10
AMAT,ml-model-2,2026-04-30,212.124868,385.535,Unknown,96.41434262948208,19,96.21513944223108,20,90.2390438247012,50,98.40637450199203,9,96.3745019920319,18,95.1394422310757,15
GLW,ml-model-2,2026-04-30,525.824992,155.53,Unknown,79.08366533864542,106,84.26294820717132,80,87.05179282868527,66,98.20717131474105,10,80.11952191235059,93,81.71314741035857,69
VLO,ml-model-2,2026-04-30,335.596705,243.69,Unknown,47.410358565737056,265,82.66932270916335,88,4.581673306772909,480,98.00796812749005,11,54.46215139442232,207,45.89641434262949,276
OXY,ml-model-2,2026-04-30,1378.186063,59.34,Unknown,50.79681274900398,248,9.760956175298803,454,21.91235059760956,393,97.80876494023904,12,42.589641434262944,290,36.81274900398407,333
MU,ml-model-2,2026-04-30,154.380566,529.74,Unknown,97.41035856573706,14,100.0,1,88.04780876494024,61,97.60956175298804,13,97.92828685258964,9,96.05577689243027,12
EOG,ml-model-2,2026-04-30,594.602014,137.54,Unknown,66.93227091633466,167,40.23904382470119,301,12.94820717131474,438,97.41035856573706,14,61.59362549800797,175,50.79681274900398,244
CVX,ml-model-2,2026-04-30,430.134965,190.13,Unknown,13.545816733067728,435,22.50996015936255,390,3.187250996015936,487,97.21115537848604,15,15.338645418326692,450,13.266932270916332,466
