ticker,portfolio,eval_date,xgb_score,xgb_rank,ge_score,ge_rank,cb_score,cb_rank,lgb_score,lgb_rank,ensemble_score,ensemble_rank,ensemble_cb_score,ensemble_cb_rank
FIX,ensemble-cb,2026-04-29,99.40239043824701,4,99.00398406374502,6,89.44223107569721,54,99.40239043824701,4,99.32270916334662,3,97.33067729083665,5
LRCX,ensemble-cb,2026-04-29,98.00796812749005,11,98.60557768924303,8,92.82868525896414,37,91.63346613545816,43,98.12749003984065,8,97.09163346613545,6
FTNT,ensemble-cb,2026-04-29,99.00398406374502,6,91.03585657370517,46,96.01593625498009,21,66.73306772908366,168,97.41035856573706,12,96.81274900398407,7
APH,ensemble-cb,2026-04-29,97.21115537848605,15,93.22709163346613,35,99.20318725099602,5,79.08366533864542,106,96.41434262948208,17,96.81274900398407,8
APP,ensemble-cb,2026-04-29,96.61354581673307,18,98.00796812749005,11,95.2191235059761,25,91.83266932270917,42,96.89243027888448,13,96.61354581673307,9
WDC,ensemble-cb,2026-04-29,98.60557768924303,8,98.20717131474103,10,88.24701195219123,60,98.60557768924303,8,98.52589641434264,5,96.45418326693226,10
STX,ensemble-cb,2026-04-29,98.40637450199203,9,89.8406374501992,52,95.61752988047809,23,98.80478087649402,7,96.69322709163347,15,96.13545816733067,11
MU,ensemble-cb,2026-04-29,97.41035856573706,14,100.0,1,88.04780876494024,61,97.60956175298804,13,97.92828685258965,9,96.05577689243029,12
HAS,ensemble-cb,2026-04-29,98.20717131474103,10,95.2191235059761,25,89.2430278884462,55,73.10756972111554,136,97.60956175298806,10,95.81673306772907,13
NVDA,ensemble-cb,2026-04-29,97.80876494023904,12,99.800796812749,2,84.4621513944223,79,55.87649402390438,224,98.20717131474105,7,95.5378486055777,14
AMAT,ensemble-cb,2026-04-29,96.41434262948208,19,96.21513944223108,20,90.2390438247012,50,98.40637450199203,9,96.3745019920319,18,95.1394422310757,15
MU,growth-evaluator,2026-04-29,97.41035856573706,14,100.0,1,88.04780876494024,61,97.60956175298804,13,97.92828685258965,9,96.05577689243029,12
NVDA,growth-evaluator,2026-04-29,97.80876494023904,12,99.800796812749,2,84.4621513944223,79,55.87649402390438,224,98.20717131474105,7,95.5378486055777,14
SNDK,growth-evaluator,2026-04-29,100.0,1,99.60159362549801,3,93.22709163346613,35,99.800796812749,2,99.9203187250996,1,98.56573705179284,3
CIEN,growth-evaluator,2026-04-29,83.46613545816733,84,99.40239043824701,4,89.64143426294821,53,99.60159362549801,3,86.65338645418328,62,87.88844621513945,40
PLTR,growth-evaluator,2026-04-29,99.20318725099602,5,99.20318725099602,5,99.800796812749,2,92.03187250996015,41,99.20318725099604,4,99.32270916334662,1
FIX,growth-evaluator,2026-04-29,99.40239043824701,4,99.00398406374502,6,89.44223107569721,54,99.40239043824701,4,99.32270916334662,3,97.33067729083665,5
TER,growth-evaluator,2026-04-29,99.800796812749,2,98.80478087649402,7,95.81673306772909,22,100.0,1,99.60159362549801,2,98.80478087649402,2
LRCX,growth-evaluator,2026-04-29,98.00796812749005,11,98.60557768924303,8,92.82868525896414,37,91.63346613545816,43,98.12749003984065,8,97.09163346613545,6
KEYS,growth-evaluator,2026-04-29,77.88844621513944,112,98.40637450199203,9,85.85657370517929,72,99.20318725099602,5,81.99203187250995,79,83.58565737051792,56
WDC,growth-evaluator,2026-04-29,98.60557768924303,8,98.20717131474103,10,88.24701195219123,60,98.60557768924303,8,98.52589641434264,5,96.45418326693226,10
APP,growth-evaluator,2026-04-29,96.61354581673307,18,98.00796812749005,11,95.2191235059761,25,91.83266932270917,42,96.89243027888448,13,96.61354581673307,9
INTU,growth-evaluator,2026-04-29,65.73705179282868,173,97.80876494023904,12,68.72509960159363,158,84.06374501992032,81,72.15139442231076,128,72.74900398406375,118
MSFT,growth-evaluator,2026-04-29,84.86055776892431,77,97.60956175298804,13,62.74900398406375,188,55.37848605577689,225,87.41035856573706,53,82.98804780876495,60
